scope	current_package	current_path	target_package	target_path	status
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTaskUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTaskUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoRecurringRuleUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoRecurringRuleUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoReorderRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoReorderRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppTodoUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppUrlLinkResolveRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppUrlLinkResolveRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppUrlLinkUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppUrlLinkUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppWhiteboardUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/LightAppWhiteboardUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/PostCategoryMetaUpsertRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/PostCategoryMetaUpsertRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/PostCategoryPolicyUpdateRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/PostCategoryPolicyUpdateRequest.java	already_non_dto_package
request	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/ReportRequest.java	io.github.shizuki.site.content.request	model/request/src/main/java/io/github/shizuki/site/content/request/ReportRequest.java	already_non_dto_package
request	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminAssetUpdateRequest.java	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminAssetUpdateRequest.java	already_non_dto_package
request	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminMusicDefaultPlaylistBundleReplaceRequest.java	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminMusicDefaultPlaylistBundleReplaceRequest.java	already_non_dto_package
request	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminMusicPlaylistProfileUpsertRequest.java	io.github.shizuki.site.media.request	model/request/src/main/java/io/github/shizuki/site/media/request/AdminMusicPlaylistProfileUpsertRequest.java	already_non_dto_package
